ID	RA	Dec	SDSS Name
114096	216.47827148438	25.768014907837	J142554.79+254604.8
114113	210.79104614258	12.170401573181	J140309.85+121013.4
114115	212.1365814209	3.0242969989777	J140832.78+030127.5
114117	216.5724029541	15.686044692993	J142617.37+154109.7
114121	215.20436096191	25.958810806274	J142049.04+255731.7
114127	214.39115905762	25.114465713501	J141733.87+250652.0
114136	216.87057495117	29.951950073242	J142729.01+295707.2
114137	210.50053405762	10.830598831177	J140200.07+104950.1
114141	210.18188476562	31.894172668457	J140043.62+315338.0
114144	217.14903259277	25.708881378174	J142835.76+254231.9
122000	339.8410949707	13.882287025452	J223921.87+135256.2
122002	340.29440307617	13.339900016785	J224110.65+132023.6
122005	335.19723510742	14.23464012146	J222047.32+141404.4
122006	343.24398803711	1.142592549324	J225258.56+010833.8
123001	351.79251098633	15.017227172852	J232710.20+150102.0
123006	348.44610595703	13.687614440918	J231347.06+134115.3
123008	356.7160949707	14.480696678162	J234651.87+142850.4
123010	349.4016418457	14.001197814941	J231736.39+140004.3
124000	5.932774066925	14.306722640991	J002343.86+141824.2
124003	7.4099164009094	0.41037371754646	J002938.37+002437.3
124004	6.3933749198914	0.84684705734253	J002534.40+005048.7
124006	4.9472131729126	0.59079486131668	J001947.33+003526.7
124010	5.9974722862244	15.770445823669	J002359.39+154613.5
124012	1.6220773458481	14.182368278503	J000629.28+141056.5
124027	13.116319656372	14.518287658691	J005227.91+143106.0
124028	1.5099757909775	14.417464256287	J000602.41+142502.8
